Name,Assembly,Annotation,Reads,popppunk_cluster,ST,Pathotype,Country,Continent,Isolation,Publication
esc_ja4704aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ja4704aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ja4704aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR4787906_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR4787906_trimmed_2.fastq.gz,1,7028,nd,united kingdom,Europe,human,public health england
esc_la5465aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_la5465aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_la5465aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_la5465aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_la5465aa_as_1.fastq,1,7252,nd,united states,North America,human,fda center for food safety and applied nutrition
esc_sa4938aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/assembly/SRR7274852_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7274852_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7274852_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7274852_trimmed_2.fastq.gz,1,8295,nd,united kingdom,Europe,human,public health england
esc_sa1365aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/assembly/SRR7163933_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7163933_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7163933_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7163933_trimmed_1.fastq.gz,1,1804~,nd,united kingdom,Europe,human,public health england
esc_ca0177aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca0177aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca0177aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca0177aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca0177aa_as_1.fastq,2,131,nd,nd,nd,blood,the sanger center
jsjt00000000,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR1314476_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR1314476_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR1314476_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR1314476_trimmed_2.fastq.gz,2,131~,expec,united states,North America,urine,salipante2014
11657_5#8,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11657_5#8.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11657_5#8.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11657_5#8_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11657_5#8_2.fastq.gz,2,5387,expec,united kingdom,Europe,blood,kallonen2017_bsac
esc_ca3866aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca3866aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca3866aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca3866aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca3866aa_as_1.fastq,2,5468,nd,united states,North America,urine,broad institute
11658_6#63,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_6#63.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_6#63.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_6#63_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_6#63_2.fastq.gz,2,5630,expec,united kingdom,Europe,blood,kallonen2017_bsac
jsmk00000000,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/assembly/SRR1314391_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR1314391_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR1314391_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR1314391_trimmed_2.fastq.gz,2,5642,expec,united states,North America,urine,salipante2014
esc_sa5338aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR7283753_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR7283753_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7283753_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7283753_trimmed_1.fastq.gz,2,131~,nd,united kingdom,Europe,human,public health england
15795_1#61,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/15795_1#61.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/15795_1#61.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/reads/15795_1#61_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/reads/15795_1#61_1.fastq.gz,2,131,nd,united kingdom,Europe,feces,brodrick2017
14937_6#13,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/14937_6#13.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/14937_6#13.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/reads/14937_6#13_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/reads/14937_6#13_1.fastq.gz,2,131,nd,united kingdom,Europe,feces,brodrick2017
nc_004431,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/hazen2013/complete/NC_004431.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/hazen2013/annotation/NC_004431.fa.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/NC_004431_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/NC_004431_1.fastq,3,73,expec,united states,North America,feces,ingle2016_gems/hazen2013
11679_7#36,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#36.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#36.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_7#36_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_7#36_2.fastq.gz,3,104,expec,united kingdom,Europe,blood,kallonen2017_bsac
11657_6#8,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11657_6#8.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11657_6#8.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11657_6#8_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11657_6#8_1.fastq.gz,3,1618,expec,united kingdom,Europe,blood,kallonen2017_bsac
srs1782353,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR4897649_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR4897649_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR4897649_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR4897649_trimmed_1.fastq.gz,3,73~,nd,united kingdom,Europe,nd,phe
srs3532548,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/assembly/SRR7505881_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7505881_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7505881_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7505881_trimmed_2.fastq.gz,3,5316,nd,united kingdom,Europe,nd,phe
esc_ha8666aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ha8666aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ha8666aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ha8666aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ha8666aa_as_1.fastq,3,74,nd,sweden,Europe,human,fda center for food safety and applied nutrition
esc_ja3922aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/assembly/SRR4897415_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/annot/SRR4897415_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR4897415_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR4897415_trimmed_2.fastq.gz,3,1154,nd,united kingdom,Europe,human,public health england
esc_ca5866aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca5866aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca5866aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca5866aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca5866aa_as_2.fastq,3,1663,nd,sweden,Europe,urine,broad institute
11679_6#12,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_6#12.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_6#12.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_6#12_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_6#12_1.fastq.gz,3,1979,expec,united kingdom,Europe,blood,kallonen2017_bsac
esc_ba6908aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ba6908aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ba6908aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba6908aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba6908aa_as_2.fastq,3,2013,nd,denmark,Europe,urine,broad institute
esc_ia6949aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ia6949aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ia6949aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ia6949aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ia6949aa_as_1.fastq,3,4862,nd,united states,North America,blood,fda center for food safety and applied nutrition
11679_4#86,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_4#86.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_4#86.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_4#86_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_4#86_2.fastq.gz,3,5242,expec,united kingdom,Europe,blood,kallonen2017_bsac
11658_5#36,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_5#36.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_5#36.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_5#36_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_5#36_1.fastq.gz,3,5253,expec,united kingdom,Europe,blood,kallonen2017_bsac
esc_ba5169aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ba5169aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ba5169aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba5169aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba5169aa_as_2.fastq,3,5274,nd,denmark,Europe,blood,broad institute
esc_ca1485aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca1485aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca1485aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca1485aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca1485aa_as_1.fastq,3,5369,nd,denmark,Europe,urine,broad institute
11658_6#4,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_6#4.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_6#4.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_6#4_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_6#4_2.fastq.gz,3,5546,expec,united kingdom,Europe,blood,kallonen2017_bsac
11658_6#2,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_6#2.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_6#2.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_6#2_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_6#2_1.fastq.gz,3,5561,expec,united kingdom,Europe,blood,kallonen2017_bsac
